968 2405
146 643 412
597 593 894
322 210 935
162 383 410
876 176 779
910 678 743
22 322 715
578 331 583
405 398 638
511 693 731
917 422 187
839 230 908
302 475 445
114 379 695
418 663 511
554 436 575
812 800 705
942 86 424
657 904 740
62 594 283
353 422 773
561 114 801
195 600 807
339 727 641
162 811 739
5 787 445
226 780 340
655 54 643
188 394 154
670 331 908
426 612 660
513 838 295
209 211 837
894 801 651
80 599 745
4 695 184
882 744 676
410 584 64
667 727 934
461 236 850
325 903 344
617 559 647
509 965 832
1 651 213
726 442 279
276 17 146
114 78 914
552 703 637
889 12 326
630 552 140
436 493 392
595 281 978
631 706 584
676 345 718
768 479 646
274 754 103
655 394 893
878 640 283
878 760 296
705 844 334
69 538 215
783 687 958
227 636 610
552 940 498
97 527 763
482 889 203
26 655 239
523 293 364
852 621 144
893 228 837
122 502 516
231 367 403
442 112 101
202 752 272
556 909 561
828 965 762
874 254 526
515 865 591
768 607 522
264 345 803
231 191 913
585 404 741
262 372 485
898 444 398
143 935 690
349 9 381
716 773 567
38 899 638
803 907 877
212 690 364
448 860 244
611 317 478
53 443 74
602 198 49
3 608 483
939 162 89
529 853 861
876 506 226
571 513 793
524 314 681
538 224 692
836 636 657
887 526 783
229 220 467
127 177 66
5 468 836
923 332 889
560 374 217
220 518 578
203 472 935
142 318 376
473 728 292
518 306 241
677 774 149
498 512 151
293 639 543
332 380 898
863 382 488
307 949 646
380 48 740
293 886 591
619 447 184
652 564 389
38 151 828
385 421 73
486 38 343
739 634 475
686 90 161
578 420 443
84 944 470
264 123 598
125 693 65
203 894 246
420 85 318
199 204 708
512 10 685
631 540 221
651 537 205
463 823 546
902 361 957
602 826 678
597 950 122
518 217 247
900 349 105
92 353 602
349 21 20
472 492 650
170 927 112
826 555 35
542 31 426
207 387 376
335 59 521
589 327 732
380 239 768
525 402 50
732 234 9
288 111 55
366 41 944
420 557 164
240 862 374
776 298 728
226 29 207
898 78 875
385 743 864
299 445 609
747 362 171
734 436 187
155 516 96
125 427 135
725 246 651
189 553 236
652 333 560
219 908 115
215 879 928
721 812 902
65 881 412
732 548 245
716 94 15
814 151 428
480 911 781
686 840 119
809 187 477
668 690 363
144 284 497
317 547 119
138 939 235
600 957 630
870 709 63
807 112 180
75 768 855
370 934 782
272 883 666
440 104 384
707 382 994
649 310 903
355 686 915
245 352 674
793 874 166
581 721 739
908 461 846
535 516 523
202 864 920
554 837 54
708 278 79
615 397 746
894 221 175
899 548 396
527 14 435
327 30 306
931 728 246
965 297 785
384 401 34
564 774 457
107 942 123
933 185 397
815 561 420
861 124 183
868 846 549
878 576 153
469 574 87
24 796 509
197 121 249
584 336 212
227 537 284
568 482 596
140 394 335
626 272 406
80 898 668
890 94 267
953 400 377
159 551 937
944 584 608
15 718 520
697 768 978
756 154 602
507 583 329
807 634 835
296 596 699
572 347 66
166 218 861
681 701 806
467 161 709
249 668 431
