17
977 1600
496 106 774
160 321 811
332 860 297
348 329 952
414 582 640
570 880 351
222 98 777
83 511 579
569 535 556
131 380 311
193 564 503
290 525 99
307 723 798
623 797 906
140 914 618
949 380 384
299 682 941
414 853 267
129 47 131
531 549 841
258 794 811
402 249 27
151 390 393
952 547 111
864 303 980
648 425 55
467 522 254
711 462 153
643 824 182
205 392 867
404 220 43
632 920 1
84 407 225
559 186 181
68 198 83
282 746 795
222 301 640
26 311 331
252 603 822
697 241 813
122 478 22
261 258 804
302 259 931
923 499 744
703 934 442
939 356 433
886 82 670
578 773 271
206 302 108
846 120 999
65 416 329
7 697 437
292 613 780
868 768 409
809 156 360
276 850 449
917 249 644
47 163 898
923 887 785
688 727 519
933 175 202
935 676 954
851 767 823
918 588 21
191 404 716
374 770 860
777 474 990
154 907 990
834 927 243
192 263 453
862 753 302
770 113 324
252 313 665
117 728 336
659 348 122
326 688 52
298 411 434
946 521 923
969 65 849
497 393 511
484 246 324
438 549 932
209 468 410
234 917 763
516 213 302
535 515 90
796 169 682
323 340 568
730 439 963
59 271 110
309 588 514
31 445 892
72 134 419
824 508 423
717 486 203
496 975 437
555 214 358
599 171 621
882 931 316
746 62 208
696 812 896
305 330 690
866 85 556
735 682 407
524 537 855
739 785 670
434 688 310
89 194 238
897 269 420
69 419 683
431 570 277
916 46 508
371 46 608
141 826 962
551 289 145
716 547 929
515 872 597
504 137 461
527 375 474
55 644 889
868 850 493
843 197 178
977 418 452
322 57 69
435 135 42
143 22 340
475 373 358
726 292 281
938 225 60
693 287 63
569 171 778
222 886 301
95 55 476
963 424 8
494 685 63
119 509 216
778 389 823
932 620 726
967 807 790
585 934 224
112 691 90
80 289 991
848 512 539
737 651 566
943 910 719
763 148 502
810 532 78
628 972 143
331 451 738
24 625 848
61 470 132
928 666 848
672 145 880
380 897 65
174 144 383
501 874 358
194 563 737
130 156 627
959 252 470
692 507 214
881 518 583
557 564 451
449 599 27
341 815 489
653 614 384
722 530 966
949 636 419
531 463 87
939 523 175
329 369 993
332 478 310
494 702 661
247 871 610
558 881 332
839 406 48
906 527 887
67 499 969
292 679 299
115 44 715
862 328 643
738 783 118
340 280 95
687 330 341
153 567 883
499 3 285
540 65 294
79 778 62
519 976 277
171 146 422
278 434 941
730 938 729
612 583 818
601 963 561
683 940 270
513 321 142
684 126 745
806 949 273
201 228 594
211 31 338
958 482 767
123 470 860
525 717 281
181 565 807
658 341 181
402 256 339
857 67 825
964 744 920
312 626 153
259 938 492
297 149 471
155 504 537
789 273 481
241 544 67
94 227 467
172 608 173
567 311 439
109 673 321
243 224 15
508 787 638
212 319 846
532 492 87
580 702 406
778 805 406
674 453 36
350 796 216
781 458 302
820 145 930
268 702 15
386 577 210
104 323 619
792 224 161
623 76 704
869 9 517
291 378 929
935 229 149
165 336 514
434 833 172
828 341 433
72 170 919
363 237 512
163 561 19
72 260 937
514 110 635
956 971 527
611 603 634
419 947 284
632 78 623
445 460 846
65 883 927
5 578 560
328 277 531
759 175 210
590 787 959
880 4 224
492 378 420
19 778 115
633 199 920
544 237 609
217 780 772
735 137 340
741 397 219
965 790 414
783 223 742
502 116 80
668 234 769
730 173 721
597 152 670
886 776 118
489 688 487
464 38 33
237 726 145
279 954 902
239 794 751
86 607 956
571 907 823
546 970 878
914 794 967
427 59 19
967 424 195
689 549 408
323 975 814
68 763 868
899 39 916
499 840 259
85 201 527
435 473 489
36 542 325
495 676 854
477 286 432
622 790 114
64 569 810
199 848 314
21 466 52
265 915 364
